¹;Tashkilot;INN;Telefon
35;“Æó¢àçøû” ÌÏÆ;205211314;906538672
36;“Èñáèëåğìåíëåğ àéìà?û” ÌÏÆ;310218140;91 383 80 77
37;“Êàòòà?àğ” ÌÏÆ;202680335;91 300 54 97
38;“Ê?ê ?çåê” ÌÏÆ;205358257;97 657 80 87
39;“?àğàòà¢” ÌÏÆ;200363152;99 456 78 61
40;“?îñ áóëà?” ÌÏÆ;202895329;99 456 78 61
41;“?îñ ê?ë” ÌÏÆ;202844256;90 576 95 88
42;“?óì à¢ûë” ÌÏÆ;202809392;90 577 55 77
43;“?óìáûç à¢ûë” ÌÏÆ;207012038;90 595 27 77
44;“?óğûëûñøû” ÌÏÆ;202029952;91 370 91 78
45;“?óòëû ?îíûñ” ÌÏÆ;206993615;91 383 99 55
46;“?óòëû ì?ê?í” ÌÏÆ;207100799;93 369  63 67
47;“?ûçûë ?óì” ÌÏÆ;205170650;97 220 44 07
48;“Íà¢?àí áà?” ÌÏÆ;205226982;90 724 27 80
49;“Íà¢ğûç” ÌÏÆ;205170595;90 590 71 54
50;“Í?¢á??àğ” ÌÏÆ;207047175;93 363 30 33
51;“Í?¢ïèğ” ÌÏÆ;202684170;90 734 04 20
52;“Íóğ” ÌÏÆ;202797655;99 958 11 78
53;“Íóğëû áîñòàí” ÌÏÆ;310216215;97 474 91 11
54;“?ğíåê” ÌÏÆ;202809384;90 577 07 42
55;“Ñàìàíáàé” ÌÏÆ;205211338;90 577 07 42
56;“Ñàğáèíàç” ÌÏÆ;202847101;88 736 72 67
57;“Òàñëà?” ÌÏÆ;202170494;93 365 41 00
58;“Òåëå îğàé” ÌÏÆ;207151554;97 560 12 77
59;“Òåìèğ æîë” ÌÏÆ;202793614;907097278
60;“Òóí?ûø ?îíûñ” ÌÏÆ;202691449;97 358 19 77
61;“Òóğàí” ÌÏÆ;202825152;91 390 44 66
62;“Òûíûøëû?” ÌÏÆ;202822283;88 348 83 38
63;“Óçûí ê?ë” ÌÏÆ;207337749;97 787 08 72
64;“Õàëû?ëàğ äîñëû?û” ÌÏÆ;202822308;91 300 70 07
65;“?à¢à æîëëàğû” ÌÏÆ;202029976;9,98972E+11
66;“Øàäëû à¢ûë” ÌÏÆ;310220916;91 385 00 74
67;“Øàéûğëàğ à¢ûëû” ÌÏÆ;202838792;94 458 07 07
68;“Øû?ûñ” ÌÏÆ;202822290;93 707 16 11
69;“Øûìáàé ã?çàğû” ÌÏÆ;306882497;93 364 56 39
70;“Øûìáàé ÷àéõàíà” ÌÏÆ;200363294;93 486 08 80
71;?ìóäàğüÿ” ÌÏÆ;205211353;99 317 33 24
72;N?kis qalas? 33-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048554;
73;N?kis qalas? 2-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207036481;
74;N?kis qalas? 3-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050205;
75;N?kis qalas? 4-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207257706;
76;N?kis qalas? 5-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;200358165;
77;N?kis qalas? 7-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048499;
78;N?kis qalas? 8-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050213;
79;N?kis qalas? 9-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207004126;
80;N?kis qalas? 11-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048507;
81;N?kis qalas? 12-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048539;
82;N?kis qalas? 13-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207032417;
83;N?kis qalas? 14-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207032400;
84;N?kis qalas? 15-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207035451;
85;N?kis qalas? 16-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050269;
86;N?kis qalas? 17-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207053826;
87;N?kis qalas? 18-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048546;
88;N?kis qalas? 19-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048522;
89;N?kis qalas? 20-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207004269;
90;N?kis qalas? 21-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050284;
91;N?kis qalas? 22-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050276;
92;N?kis qalas? 23-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207274234;
93;N?kis qalas? 24-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048474;
94;N?kis qalas? 25-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207047183;
95;N?kis qalas? 27-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207002872;
96;N?kis qalas? 28-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048482;
97;N?kis qalas? 29-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207274259;
98;N?kis qalas? 30-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207003855;
99;N?kis qalas? 31-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050197;
100;N?kis qalas? 32-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207048467;
101;N?kis qalas? 1-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207004252;
102;N?kis qalas? 34-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207049157;
103;N?kis qalas? 35-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;204796093;
104;N?kis qalas? 36-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050316;
105;N?kis qalas? 37-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050442;
106;N?kis qalas? 38-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207049140;
107;N?kis qalas? 39-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207032424;
108;N?kis qalas? 40-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050180;
109;N?kis qalas? 41-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050165;
110;N?kis qalas? 42-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207274274;
111;N?kis qalas? 43-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207047190;
112;N?kis qalas? 45-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207002445;
113;N?kis qalas? 46-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207051970;
114;N?kis qalas? 48-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207278126;
115;N?kis qalas? 47-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050466;
116;N?kis qalas? 50-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207049164;
117;N?kis qalas? 51-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207050252;
118;N?kis qalas? 52-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;306913536;
119;N?kis qalas? 53-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;306936737;
120;N?kis qalas? 54-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207310466;
121;N?kis qalas? 55-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207333833;
122;N?kis qalas? 56-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207331242;
123;N?kis qalas? 6-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207004119;
124;N?kis qalas? 10-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207274266;
125;N?kis qalas? 49-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207278213;
126;N?kis qalas? 1-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;206921807;
127;N?kis qalas? 2-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;206920508;
128;N?kis qalas? 3-sanl? ul?wma orta bilim beriw mektebi;206922544;
129;N?kis qalas? 4-sanl? ul?wma orta bilim beriw mektebi;206922211;
130;N?kis qalas? 5-sanl? ul?wma orta bilim beriw mektebi;204098162;
131;N?kis qalas? 6-sanl? ul?wma orta bilim beriw mektebi;206922551;
132;N?kis qalas? 7-sanl? ul?wma orta bilim beriw mektebi;207234362;
133;N?kis qalas? 8-sanl? ul?wma orta bilim beriw mektebi;205031664;
134;N?kis qalas? 9-sanl? ul?wma orta bilim beriw mektebi;206922608;
135;N?kis qalas? 10-sanl? ul?wma orta bilim beriw mektebi;206920680;
136;N?kis qalas? 11-sanl? ul?wma orta bilim beriw mektebi;206919332;
137;N?kis qalas? 12-sanl? ul?wma orta bilim beriw mektebi;204098226;
138;N?kis qalas? 13-sanl? ul?wma orta bilim beriw mektebi;206920737;
139;N?kis qalas? 14-sanl? ul?wma orta bilim beriw mektebi;206921205;
140;N?kis qalas? 15-sanl? ul?wma orta bilim beriw mektebi;206922583;
141;N?kis qalas? 16-sanl? ul?wma orta bilim beriw mektebi;206922615;
142;N?kis qalas? 17-sanl? ul?wma orta bilim beriw mektebi;206919664;
143;N?kis qalas? 18-sanl? ul?wma orta bilim beriw mektebi;206922647;
144;N?kis qalas? 19-sanl? ul?wma orta bilim beriw mektebi;203134514;
145;N?kis qalas? 20-sanl? ul?wma orta bilim beriw mektebi;206922630;
146;N?kis qalas? 21-sanl? ul?wma orta bilim beriw mektebi;206922654;
147;N?kis qalas? 22-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;203134538;
148;N?kis qalas? 23-sanl? ul?wma orta bilim beriw mektebi;206921656;
149;N?kis qalas? 24-sanl? ul?wma orta bilim beriw mektebi;206922662;
150;N?kis qalas? 25-sanl? ul?wma orta bilim beriw mektebi;203138659;
151;N?kis qalas? 26-sanl? ul?wma orta bilim beriw mektebi;206922679;
152;N?kis qalas? 27-sanl? ul?wma orta bilim beriw mektebi;206922686;
153;N?kis qalas? 28-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;206920697;
154;N?kis qalas? 30-sanl? ul?wma orta bilim beriw mektebi;206920744;
155;N?kis qalas? 31-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;204098280;
156;N?kis qalas? 32-sanl? ul?wma orta bilim beriw mektebi;204098297;
157;N?kis qalas? 33-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;204098305;
158;N?kis qalas? 34-sanl? ul?wma orta bilim beriw mektebi;206922702;
159;N?kis qalas? 35-sanl? ul?wma orta bilim beriw mektebi;206877591;
160;N?kis qalas? 36-sanl? ul?wma orta bilim beriw mektebi;206922575;
161;N?kis qalas? 37-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;203147798;
162;N?kis qalas? 38-sanl? ul?wma orta bilim beriw mektebi;206922568;
163;N?kis qalas? 39-sanl? ul?wma orta bilim beriw mektebi;206918777;
164;N?kis qalas? 40-sanl? ul?wma orta bilim beriw mektebi;206918072;
165;N?kis qalas? 29-sanl? ul?wma orta bilim beriw mektebi;206918784;
166;N?kis qalas? 41-sanl? ul?wma orta bilim beriw mektebi;204098320;
167;N?kis qalas? 42-sanl? ul?wma orta bilim beriw mektebi;206920088;
168;N?kis qalas? 43-sanl? ul?wma orta bilim beriw mektebi;206920705;
169;N?kis qalas? 44-sanl? ul?wma orta bilim beriw mektebi;207257698;
170;N?kis qalas? 45-sanl? ul?wma orta bilim beriw mektebi;207286171;
171;N?kis qalas? 46-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;200362178;
172;N?kis qalas? 47-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;201020959;
173;N?kis qalas? 48-sanl? ay?r?m p?nler tere?lestirilip oq?t?latu??n klasslar? bar ul?wma orta bilim beriw mektebi;206422636;
174;N?kis qalas? 49-sanl? ul?wma orta bilim beriw mektebi;207304551;
175;N?kis qalas? 50-sanl? ul?wma orta bilim beriw mektebi;207304544;
176;N?kis qalas? 51-sanl? ul?wma orta bilim beriw mektebi;306977686;
177;"N?kis qalas? ""Barkamal ?wlat"" balalar mektebi";207124530;
178;N?kis qalas? 44-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;207274242;
179;N?kis qalas? 58-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;310051651;
180;N?kis qalas? 60-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;309985635;
181;N?kis qalas? 59-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;310155363;
182;N?kis qalas? 52-sanl? ul?wma orta bilim beriw mektebi;310218821;
183;N?kis qalas? 53-sanl? ul?wma orta bilim beriw mektebi;310239638;
184;N?kis qalas? 62-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;310329439;
185;N?kis qalas? 61-sanl? m?mleketlik mektepke shekemgi bilimlendiriw sh?lkemi;310342527;
186;N?kis qalas? 54-sanl? ul?wma orta bilim beriw mektebi;311250159;
187;N?kis qalas? 55-sanl? ul?wma orta bilim beriw mektebi;312474836;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
