Ташкилот номи;СТИР;
Президент билимлендириў Мәкемелери агентлигине қараслы Ибрайым Юсупов атындағы дөретиўшилик мектеби;207253237;
Nukus shahar 1-son maktab-internati;309868337;
Muxammed Al-Xorezmiy atındaǵı qánigelestirilgen mektep Nókis filialı;310808087;
Нөкис қаласы Ишки ислер бөлими;;
Қаракалпақстан Республикасы Ишки ислер министрлиги жәмийетлик қәўипсизлик хызмети Жол ҳәрекети қәўипсизлиги басқармасы;202780005;
Нукус шаҳри фавқулодда вазиятлар бўлими;202684187;
O'zbekiston Respublikasi Raqamli texnologiyalar vazirligi Qoraqalpog'iston Respublikasi hududiy sho'basi;201221770;
Qoraqalpog‘iston radioteleuzatish markazi;200625403;
"""Ўзбекистон Почтаси"" АЖ Қорақолпоғистон филиали";200833833;
Қорақалпоғистон Республикаси Электромагнит мослашув хизмати;201057444;
Axborotlashtirish va telekommunikatsiyalar sohasida nazorat inspeksiyasi Qoraqalpog'iston Respublikasi hududiy bo'limi;200540684;
"АК ""Алоқабанк"" Қорақалпоғистон филиали";200829053;
Қорақалпоғистон Республикаси Махсус алоқа боғламаси;201440547;
Ўзбекистон Республикаси рақамли технологиялар вазирлиги давлат фелдгерлик хизматининг Нукус шаҳар бўлими;200357959;
Birinchi bog‘lama (Nukus sh, Nukus t);203366731;
IT-Park Qoraqalpog'iston Respublikasi filiali;305975326;
"""Universal mobile systems"" mas'uliyati cheklangan jamiyat Nukus xizmat ko'rsatish markazi";303020732;
Республикалиқ болалар юқумли касалликлар шифохонаси;202035115;
Nókis qalası Densawlıqtı saqlaw bólimi;204060084;
Nókis qalası Medicina birlespesine qaraslı 9-sanli shanaraqliq poliklinikasi;204060084;
Nókis qalası Medicina birlespesine qaraslı 1-sanli shanaraqliq poliklinikasi;204060084;
Nókis qalası Medicina birlespesine qaraslı 2-sanli shanaraqliq poliklinikasi;203133088;
Nókis qalası Medicina birlespesine qaraslı 3-sanli shanaraqliq poliklinikasi;204060084;
Nókis qalası Medicina birlespesine qaraslı 4-sanli shanaraqliq poliklinikasi;203218369;
Nókis qalası Medicina birlespesine qaraslı 5-sanli shanaraqliq poliklinikasi;204348214;
Nókis qalası Medicina birlespesine qaraslı 6-sanli shanaraqliq poliklinikasi;206942124;
Nókis qalası Medicina birlespesine qaraslı 7-sanli shanaraqliq poliklinikasi;206941860;
Nókis qalası Medicina birlespesine qaraslı 8-sanli shanaraqliq poliklinikasi;207188024;
Nókis qalası Medicina birlespesine qaraslı 10-sanli shanaraqliq poliklinikasi;310083525;
Nókis qalası Medicina birlespesine qaraslı 11-sanli shanaraqliq poliklinikasi;312312214;
Nókis qalası Medicina birlespesine qaraslı 12-sanli shanaraqliq poliklinikasi;312312245;
"""С.Султанов"" атындағы Республика фтизиатрия ҳәм пулмонологи";202035075;
Республика болалар стоматология поликлиникаси;202035108;
Республикалиқ Патологоанатомия бюроси;201894496;
"""У.Халмуротов"" атындағы Республикалық көп тармақлы медицина орайы ";202035036;
Республика  ўсмирлар диспансери;306667921;
"""Республика болалар фтизиатрия санаторияси"" давлат муассасаси";202035029;
Қарақалпақстан Республикасы аймақлық балалар медициналық реаблитация орайы;201028979;
2-сонли Нукус Абу Али ибн Сино номидаги жамоат саломатлиги техникуми;201072395;
Нукус Абу Али ибн Сино номидаги жамоат саломатлиги техникуми;200358213;
“Nukus tibbiyot va It texnikumi” mas’uliyati cheklangan jamiyati;310093046;
Академик Й.Х.Тўракулов номидаги Республика ихтисослаштирилган  эндокринология илмий-амалий тиббиёт маркази Қорақалпоғистон филиали;202389728;
Республика ихтисослаштирилган кўз микрохирургияси илмий-амалий тиббиёт маркази Қорақалпоғистон Республикаси минтақавий филиали;202035186;
Республика шошилинч тибий ёрдам илмий маркази Нукус филиали;203498188;
Nókis qalası Sanitariya-epidemiologiyalıq tınıshlıq hám jámiyet salamatlıǵı bólimi;201020910;
Qaraqalpaqstan Respublikası arttırilǵan immunitet jetispewshiligi sindromina qarsı gúresiw orayı;202035083;
Республика ўлат профилактика маркази Қорақалпоғистон филиали;201721022;
Республика ихтисослаштирилган кардиология илмий амалий тиббиёт маркази Қорақалпоғистон Республикаси ҳудудий филиали;200362193;
Республика ихтисослаштирилган  онкология ва радиология илмий-амалий тиббиёт маркази Қорақалпоғистон филиали;201020974;
Республика ихтисослашитирилган она ва бола саламотлиги илимий-амалий тиббиёт маркази ;201020903;
Ўзбекистон Республикаси Соғлиқни сақлаш вазирлиги суд-тиббий экспертиза илмий-амалий маркази Қорақалпоғистон филиали;202029493;
Республика тез тиббий ёрдам маркази Қорақалпоғистон филиали;200949617;
Нөкис қаласы тез медициналық жәрдем №1-подстанциясы;200949617;
Нөкис қаласы тез медициналық жәрдем бөлими;200949617;
Qaraqalpaqstan Respublikası filialı;202035194;
Қорақалпоғистон Республика болалар кўп тармоқли тиббиёт маркази;201036351;
Қорақалпоғистон Республикаси қон қуйиш маркази;201020966;
Республика ихтисослаштирилган дерматовенерология ва косметология илмий-амалий тиббиёт маркази Қорақалпоғистон Республикаси минтақавий филиали;200357791;
Республика ўрта тиббиёт ва фармацевтика ходимлари малакасини ошириш ва уларни ихтисослаштириш маркази Қорақалпоғистон Республикаси филиали;201020894;
“Ўзбекконцерт” давлат муассасаси Қорақалпоғистон Республикаси бўлими;202035305;
“Қорақалпоқфильм” ДУК;200357396;
“Қорақалпоқкино” агентлиги;201035812;
Nókis qalası Mádeniyat bólimi;202034970;
O‘zbekiston davlat filarmoniyasi Qoraqalpog‘iston Respublikasi bo‘linmasi;207287320;
Қорақалпоғистон Республикаси кўзи ожизлар махсус кутубхонаси;207107384;
Бердақ номидаги Қорақалпоқ давлат академик мусиқали театри;201036257;
Qoraqalpoq davlat Yosh tomoshabinlar teatri;202035313;
Qoraqalpog'iston davlat qo'g'irchoq teatri;200362240;
Nukus ixtisoslashtirilgan madaniyat maktabi;200362099;
Қарақалпақстан көркем өнер сарайы мәмлекетлик мекемеси ;309270394;
“Айқулаш” Қарақалпақ мәмлекетлик миллий фольклор ансамбли;202265368;
Ўзбекистон Давлат консерваториясининг Нукус филиали;308588662;
Нөкис қаласы Есжан бақсы атындағы 1-санлы балалар музыка ҳәм көркем-өнер мектеби;203464816;
Нөкис қаласы 22-санлы балалар музыка ҳәм көркем-өнер мектеби;207245088;
Опера көркем өнерине қәнигелестирилген мектеп-интернаты;308686232;
Нөкис қаласы 12-санлы балалар музыка ҳәм көркем өнер мектеби;203567845;
"""O'zRTXB"" AJ Qoraqalpog'iston filiali ";200933985;
Қорақалпоғистон фермерлари кенгаши;207171506;
Республика Маънавият ва маърифат марказининг Қорақалпоғистон бўлими;200362050;
Республика Руўхыйлық ҳәм ағартыўшылық орайы Нөкис қаласы бөлими;200362050;
Ўзбекистон Республикаси Касаба уюшмаси федерацияси Қорақалпоғистон Республикаси;200357737;
Bolalarning dam olishini va sog'lomlashtirilishini tashkil etish departamentining Qoraqalpog'iston boshqarmasi;207352493;
Nókis qalası Kámbaǵallıqtı qısqartırıw hám bántlik bólimi;200362218;
Nókis qalası kásbiy kónikpeler orayı;308523324;
Қарақалпақстан Республикасы жолаўшы тасыўды мониторинг ҳәм қадағалаў мәмлекетлик шөлкеми;305109680;
“Sapsan Trans Nukus” mas’uliyati cheklangan jamiyati;310201155;
Қипчақ Йўллардан мунтазам фойдаланиш унитар корхоналари;309101531;
"""Қорақалпогистон Республикаси Минтақавий йўлларга буйртмачи хизмати"" ДУК";207255036;
"""Қарақалпақ жол көклем” Мәмлекетлик унитар кәрханасы";305168593;
НОДЛ-Оролбўйи;202472894;
" ""Нукус халқаро аэропорти"" МЧЖ";200949158;
Нукус транспорт техникуми;201036272;
Қорақалпоғистон Республикаси Ахборот-кутубхона маркази;206758526;
Qaraqalpaqstan Respublikası Statistika basqarması;200356524;
Nókis qalası statistika bólimi;200356524;
“Ustyurt geofizika ekspeditsiyasi” filiali;201577724;
“Ер қаъридан фойдаланиш маркази” давлат муассасаси Қорақалпоғистон Республикаси ҳудудий бошқармаси;200898357;
Қарақалпақстан Республикасы Қурылыс ҳәм үй-жай коммунал хожалығы министрлиги;200358244;
Nókis qalası qurılıs hám úy-jay kommunal xojalıǵı bólimi;200358244;
Қорақалпоғистон Республикаси Қурилишда танлов савдоларини ташкил этиш консалтинг маркази;202610040;
“Qoraqalpog'iston Respublikasi kommunal issiqlik ta'minoti” MChJ;200356026;
“Ўзмиллийбанк” АЖ Қарақалпақстан Республикасы Бас басқармасы;200836354;
”Агробанк” акциянерлик-коммерциялық банки Қарақалпақстан Республикасы басқармасы;207243390;
"""Sanoat-qurilish bank"" AJ Qaraqalpoqiston Respublikasi filiali";200833707;
"""Микрокредитбанк"" АТБ Қорақалпоғистон Республикаси филиали";;
"""Asakabank"" AJ Nukus filiali";201589828;
"АТ ""Халқ банки"" Қорақалпоғистон Республикаси минтақавий маркази";207215726;
“Biznesni rivojlantirish banki” ATB Qoraqalpog'iston Respublikasi hududiy boshqarmasi;206916313;
"Қорақалпоғистон Республикаси “кичик бизнесга кўмаклашиш маркази"" МЧЖ";310889178;
“Турон банк” АТБ Қорақалпоғистон Республикаси банк хизматлар маркази;201055108;
”Ипотека-банк” акциянерлик-коммерциялық Ипотека банки Қарақалпақстан Республикасы филиалы;202858483;
“Инфин банк” АКБ Нөкис филиалы;206942764;
"""Hamkorbank"" АТБ Нукус минтакавий банк хизматлар офиси";200242936;
Өзбекстан Республикасы Орайлық банки Қарақалпақстан Республикасы Бас басқармасы;202855567;
Nókis qalası Abadanlastırıw basqarması;200357713;
Нөкис Еркин экономикалық зона директсиясы мәмлекетлик унитар кәрханасы ;305057842;
Қарақалпақстан Республикасы Министрлер Кеңесиниң “Бирден-бир буйыртпашы хызмети инжиниринг компаниясы” мәмлекетлик шөлкеми;204801205;
Қарақалпақстан Республикасы киши ҳәм жаслар санаат зоналарын басқарыў бойынша бирден-бир дирекциясы мәмлекетлик кәрханасы;305410886;
“Қарақалпақ дийқан базары” Республикалық бирлеспеси;301784836;
Қарақалпақстан Республикасы Рәсмий қабыллар үйи мәмлекетлик шөлкеми;207095663;
Qoraqalpog'iston Respublikasi Vazirlar kengashi huzuridagi tadbirkorlikka ko‘maklashish direksiyasi;311911141;
“Қорақалпоғистон Республикаси Вазирлар кенгаши ҳузуридаги ижарага берилган қишлоқ хўжалиги ерларига хизмат кўрсатиш дирексияси” масъулияти чекланган жамияти;312207786;
Қорақалпоғистон Республикаси Вазирлар Кенгаши ҳузуридаги ёшлар ижтимоий-иқтисодий маркази дирексияси;305109680;
Өзбекстан Республикасы Илимлер академиясы Қарақалпақстан бөлими;202029905;
Ўзбекистон Республикаси фанлар академияси Қорақалпоғистон бўлими Табийи фанлари илмий-тадқиқот институти;207149981;
Ўзбекистон Республикаси фанлар академияси Қорақалпоғистон бўлими Гуманитар фанлари илмий-тадқиқот институти;207149974;
"Ózbekstan milliy teleradiokompaniyasınıń ""Qaraqalpaqstan Respublikası teleradiokanalı"" MM";201136124;
“Ўзагросуғурта” АЖ Қорақалпоғистон Республикаси филиали;201042345;
Бошқарув самарадорлиги агентлиги Қорақалпоғистон Республикаси филиали;306762718;
Аёлларни реабилитация қилиш ва мослаштириш Республика маркази Қорақалпоғистон Республикаси ҳудудий бўлими;;
Ózbekstan Respublikası Prezidenti janındaǵı Sociallıq qorǵaw milliy agentliginiń Qaraqalpaqstan Respublikası Nókis qalasındaǵı “Imkon” reabilitaciya orayına iye mámleketlik kóp tarmaqlı qánigelestirilgen mektepke shekemgi bilimlendiriw shólkemi;207290761;
SQMA Qaraqalpaqstan Respublikası Nókis qalasındaǵı 26-sanlı kóp tarmaqlı qániygelestirilgen mektepke shekemgi bilimlendiriw shólkemi;207034080;
SQMA Qaraqalpaqstan Respublikası basqarmasına qaraslı arnawlı bilimge mútáj bolǵan gereń hám shala esitiwshi balalar ushin qánigelestirilgen 4-sanlı mektep-internatı;201028915;
SQMA Qaraqalpaqstan Respublikası Nókis qalasındaǵı 10-sanlı “Nurlı mákan” qánigelestirilgen mektep-internatı;203534395;
Қорақалпоғистон Республикаси тиббий-ижтимоий эксперт комиссияси;310611681;
Нукус шаҳар “Инсон” ижтимоий хизматлар маркази;310611681;
Nukus muruvvat nogironligi bo‘lgan shaxslar uchun ayollar internat uyi;200395929;
Ijtimoiy inspeksiyaning Qoraqalpog‘iston respublikasi boshqarmasi;310695301;
Қорақалпоғистон Республикасида лойиҳаларни амалга ошириш маркази лойиҳа офиси;311908033;
Ўзбекистон Республикаси Президентининг Қорақалпоғистон Республикасидаги Халқ қабулхонаси;201036035;
Nókis qalası Mámleketlik salıq inspekcyası;201021062;
Muhammad Ibn Ahmad Al-Beruniy o`rta maxsus islom bilim yurti;202781898;
Қарақалпақстан Мусылманлары қазыяты;202035409;
Qoraqalpog'iston Respublikasi “Qishloq ho‘jaligi mahsulotlari sifatini baholash markazi” davlat muassasasi;305604153;
Қурылыс ҳәм үй-жай коммунал хожалығы тараўында қадағалаў инспекциясының Қарақалпақстан Республикасы аймақлық қадағалаў инспекциясы;201721505;
Berdaq atındaǵı Qaraqalpaq ádebiyati tariyxı mámleketlik muzeyi;308556228;
Қорақалпоғистон Республикаси И.В.Савицкий номидаги давлат санъат музейи;207121234;
Қорақалпоғистон Республикаси тарихи ва маданияти давлат музейи;207107947;
Nókis qalası Shańaraq hám hayal qızlar bólimi;309342557;
"""O'zenergoinspeksiya"" Qoraqalpog'iston Respublikasi hududiy boshqarmasi";310705438;
Саноат, радиация ва ядро хавфсизлиги қўмитасининг Қорақалпоғистон ҳудудий бошқармаси;311420064;
Қорақалпоғистон Республикаси Марказий давлат архиви;200362082;
Nókis qalası jeke quram hújjetleri mámleketlik arxivi;206958016;
Nókis qalası Ádilik bólimi;;
Қарақалпақстан Республикасы  Гидрометеорология басқармасы;201059022;
Қарақалпақстан Республикасы ”Таза ҳудуд” мәмлекетлик унитар кәрханасы;304937594;
Экология, қоршаған орталықты қорғаў ҳәм климат өзгериўи министрлигиниң Нөкис қаласы бөлими;202112977;
“Таза макан сервиc” масъулияти чекланган жамияти;311909300;
“Глобал поситион систем” масъулияти чекланган жамияти;309167189;
“Нукус эко ситй транс” масъулияти чекланган жамияти;306977583;
“Roodell recovery” mas’uliyati cheklangan jamiyati;304628109;
Nókis qalası Mámleketlik toǵay xojalıǵı;201008741;
“Chiqindi poligonlarini boshqarish direksiyasi” Qoraqalpog‘iston Respublikasi boshqarmasi;311062811;
Qoraqalpog'iston Respublikasi Chiqindilarni boshqarish va sirkulyar iqtisodiyotni rivojlantirish agentligi;311727433;
“Qoraqalpoqekspertiza” ma'suliyati cheklangan jamiyati;200362810;
Ўзбекистон Республикаси “Ҳунарманд” уюшмаси Қорақалпоғистон Республикаси бошқармаси;202410037;
Ўзбекистон Савдо-саноат палатаси Қорақалпоғистон Республикаси бошқармаси;200358664;
"AJ""O'zagrolizing"" Qoraqalpog'iston Respublikasi filiali";203071206;
Қарақалпақстан хабар агентлиги;;
Ўзбекистон Бадиий академияси Қорақалпоғистон бўлими;201982774;
Қорақалпоғистон Республикаси ихтисослаштирилган санъат мактаб-интернати;202389735;
Xalıq deputatları Nókis qalası keńesi sekretariati;207333707;
Ўзбекистон ёшлар иттифоқи Қорақалпоғистон Рспубликаси кенгаши;200358514;
“Kapital bank” ATB Qoraqalpog'iston Respublikasi filiali;207127843;
Олий Мажлисининг инсон ҳуқуқлари бўйича Қорақалпоғистон Республикаси минтақавий вакили;206978291;
Сув хўжалиги объектларини хавсизлигини ва сувдан фойдаланиш назорат қилиш инспекцияси Қорақалпоғистон Республикаси бошқармаси;310621456;
Ирригация ва сув муаммолари илмий-тадқиқот институти Қорақалпоғистон минтақавий маркази;200949577;
Арал бойы делта басқармасы;207289230;
Қарақалпақстан Республмкасы суў хожалығы министрлиги жанындағы мелоратив экспедициясы ;200362272;
“Қорақалпоғистонсувқурилишинвест” Давлат муассасаси;200356500;
O‘zbekiston Respublikasi milliy gvardiyasi Qoraqalpog'iston Respublikasi chavandozlar maktabi;309121530;
O‘zbekiston Respublikasi milliy gvardiyasi Qoraqalpog'iston Respublikasi bo‘yicha boshqarmasi;;
Қорақалпоғистон магистраль газ қувурлари бошқармаси;200407848;
"""Ҳудудий электр тармоқлари"" АЖ Қарақалпақстан аймақлық филиалы";306350099;
“Ҳудудий электр тармоқлари” АЖ Қарақалпақстан аймақлық филиалы Нөкис қаласы электр тәмийнлеўи;306350099;
“Hududiy elektr tarmoqlari” AJ “Energosavdo” filiali Qoraqalpog'iston Respublikasi bo‘linmasi;306350099;
“Hududiy elektr tarmoqlari” AJ “Energosawda” Qaraqalpaqstan aymaqlıq filialı Nókis qalalıq bólimi;306350099;
“O‘zbekiston MET” AJ “Qoraqalpog‘iston MET” filiali;306347741;
“Ҳудудгаз Қарақалпақстан” газ тәмийнаты Нөкис қаласы бөлими;306605769;
Qoraqalpogʻiston Respublikasi Davlat mulki obyektlari markazi hududiy boshqarmasi;203618353;
Қизилмия ва бошқа доривор ўсимликларни етиштириш ва қайта ишлаш ташкилотлари уюшмаси;207275011;
Суў ҳәм канализация тармақларын қурыў бойынша Инжиниринг компаниясы Қорақалпоғистон Республикаси филиалы;305974651;
Nókis qalası Jaslar isleri bólimi;309217308;
Нукус шаҳар 1-сонли спор мактаби;206834273;
Нукус шаҳар 2-сонли спорт мактаби;206954844;
Қарақалпақстан Республикасы Жеке гүрес спорт түрлерине қанигелетирилген спорт мектеби;200358237;
Қорақалпоғистон Республикаси Гемнастика спорт турлари бўйича ихтисослаштирилган спорт мактаби;207169317;
Қорақалпоғистон Республикаси Сув спорт турлари бўйича ихтисослаштирилган спорт мактаби;202029747;
Олимпия ва миллий спорт турлари бўйича Нукус олий спорт маҳорати мактаби;207277515;
Республика спорт ўйин турлари ва енгил отлетика бўйинша ихтисослаштирилган спортлар мектеби;206968344;
"""Ўзбекистон футбол Ассоцияцияси тасарруфидаги Қорақалпоғистон Республикаси футбол академияси"" давлат муассасаси";207283840;
Ўзбекистон белбоғли кураш федерацияси Қорақалпоғистон Республикаси бўлими;207153109;
Қорақалпоғистон Республикаси Ешкак ешиш федерацияси;207069045;
Қорақалпоғистон Республикаси кураш федерацияси;207263794;
Ózbekstan taekwondo wt assotsiatsiyasi Qoraqalpaqstan Respublikası bólimi;207368267;
Нукус олимпия ва паралимпия спорт турларига таёрлаш маркази ;204879646;
Qoraqalpog'iston futbol associaciyasi;201793424;
Дене тәрбия ҳәм спорт бойынша қәнигелерди кайта таярлаў ҳәм маманлығын асырыў институты Нөкис филиалы;207289380;
“Кафил суғурта” АЖ Қорақалпоғистон Республикаси филиали;205091876;
Тадбиркорлар ва ишбилармонлар ҳаракати-Ўзбекистон Либерал-демократик партияси Қорақалпоғистон ҳудудий партия ташкилоти;206992134;
Өзбекстан “Миллий тикланиш” демократиялық партиясы Қарақалпақстан Республикасы Кеңеси ;205801917;
O‘zbekiston iste’molchilar huquqlarini himoya qilish jamiyatlari Federatsiyasining Qoraqalpog'iston Respublikasi Federatsiyasi;204434829;
O‘zbekiston Nogironlar Assotsiatsiyasi Qoraqalpog'iston Respublikasi hududiy bo‘limi;305109680;
“Абат мәкән” МПЖ;310218544;
“Айдын жол” МПЖ;202775398;
“Ақ жағыс” МПЖ;205211306;
“Ақ отаў” МПЖ;207027270;
“Алланияз Қаҳарман” МПЖ;207096890;
“Алмазар” МПЖ;201895162;
“Алтын жағыс” МПЖ;207337978;
“Аманлық гүзары” МПЖ;207337961;
“Анасай” МПЖ;205211321;
“Ата мәкән” МПЖ;306882458;
“Байтерек” МПЖ;202714615;
“Бақшылық” МПЖ;202838800;
“Берекет” МПЖ;207049798;
“Бестөбе” МПЖ;205226999;
“Боз аўыл” МПЖ;206993608;
“Ботаника бағы” МПЖ;202698596;
“Ватанпарвар” МПЖ;207289254;
“Ғәрезсизлик” МПЖ;207061104;
“Гөне қала” МПЖ;202676924;
“Гүзар” МПЖ;207010239;
“Гүлзар” МПЖ;207151578;
“Дәрбент” МПЖ;202809360;
“Дослық гүзары” МПЖ;207151561;
“Дослық” МПЖ;202227564;
“Елиабат” МПЖ;202775406;
“Жайхун” МПЖ;205170604;
“Жаңа базар” МПЖ;202797670;
“Жаңа заман” МПЖ;310218552;
“Жас әўлад” МПЖ;310216760;
“Жасыл бағ” МПЖ;310222730;
“Жеке терек” МПЖ;202030139;
“Жийдели байсын” МПЖ;205211345;
“Жипек жолы” МПЖ;207151585;
“Жолшылар” МПЖ;202809400;
“Жуўазшы” МПЖ;205211314;
“Исбилерменлер аймағы” МПЖ;310218140;
“Каттағар” МПЖ;202680335;
“Көк өзек” МПЖ;205358257;
“Қаратаў” МПЖ;200363152;
“Қос булақ” МПЖ;202895329;
“Қос көл” МПЖ;202844256;
“Қум аўыл” МПЖ;202809392;
“Қумбыз аўыл” МПЖ;207012038;
“Қурылысшы” МПЖ;202029952;
“Қутлы қоныс” МПЖ;206993615;
“Қутлы мәкән” МПЖ;207100799;
“Қызыл қум” МПЖ;205170650;
“Наўқан бағ” МПЖ;205226982;
“Наўрыз” МПЖ;205170595;
“Нәўбәҳар” МПЖ;207047175;
“Нәўпир” МПЖ;202684170;
“Нур” МПЖ;202797655;
“Нурлы бостан” МПЖ;310216215;
“Өрнек” МПЖ;202809384;
“Саманбай” МПЖ;205211338;
“Сарбиназ” МПЖ;202847101;
“Таслақ” МПЖ;202170494;
“Теле орай” МПЖ;207151554;
“Темир жол” МПЖ;202793614;
“Тунғыш қоныс” МПЖ;202691449;
“Туран” МПЖ;202825152;
“Тынышлық” МПЖ;202822283;
“Узын көл” МПЖ;207337749;
“Халықлар дослығы” МПЖ;202822308;
“Ҳаўа жоллары” МПЖ;202029976;
“Шадлы аўыл” МПЖ;310220916;
“Шайырлар аўылы” МПЖ;202838792;
“Шығыс” МПЖ;202822290;
“Шымбай гүзары” МПЖ;306882497;
“Шымбай чайхана” МПЖ;200363294;
Әмударья” МПЖ;205211353;
Nókis qalası 33-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048554;
Nókis qalası 2-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207036481;
Nókis qalası 3-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050205;
Nókis qalası 4-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207257706;
Nókis qalası 5-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;200358165;
Nókis qalası 7-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048499;
Nókis qalası 8-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050213;
Nókis qalası 9-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207004126;
Nókis qalası 11-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048507;
Nókis qalası 12-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048539;
Nókis qalası 13-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207032417;
Nókis qalası 14-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207032400;
Nókis qalası 15-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207035451;
Nókis qalası 16-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050269;
Nókis qalası 17-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207053826;
Nókis qalası 18-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048546;
Nókis qalası 19-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048522;
Nókis qalası 20-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207004269;
Nókis qalası 21-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050284;
Nókis qalası 22-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050276;
Nókis qalası 23-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207274234;
Nókis qalası 24-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048474;
Nókis qalası 25-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207047183;
