Tashkilot nomi;STIR;
Prezident bilimlendiriw Mákemeleri agentligine qaraslı Ibrayım Yusupov atındaǵı dóretiwshilik mektebi;207253237;
Nukus shahar 1-son maktab-internati;309868337;
Muxammed Al-Xorezmiy atındaǵı qánigelestirilgen mektep Nókis filialı;310808087;
Nókis qalası Ishki isler bólimi;;
Qarakalpaqstan Respublikası Ishki isler ministrligi jámiyetlik qáwipsizlik xızmeti Jol háreketi qáwipsizligi basqarması;202780005;
Nukus shahri favqulodda vaziyatlar bo'limi;202684187;
O'zbekiston Respublikasi Raqamli texnologiyalar vazirligi Qoraqalpog'iston Respublikasi hududiy sho'basi;201221770;
Qoraqalpog‘iston radioteleuzatish markazi;200625403;
"""O'zbekiston Pochtasi"" AJ Qoraqolpog'iston filiali";200833833;
Qoraqalpog'iston Respublikasi Elektromagnit moslashuv xizmati;201057444;
Axborotlashtirish va telekommunikatsiyalar sohasida nazorat inspeksiyasi Qoraqalpog'iston Respublikasi hududiy bo'limi;200540684;
"AK ""Aloqabank"" Qoraqalpog'iston filiali";200829053;
Qoraqalpog'iston Respublikasi Maxsus aloqa bog'lamasi;201440547;
O'zbekiston Respublikasi raqamli texnologiyalar vazirligi davlat feldgerlik xizmatining Nukus shahar bo'limi;200357959;
Birinchi bog‘lama (Nukus sh, Nukus t);203366731;
IT-Park Qoraqalpog'iston Respublikasi filiali;305975326;
"""Universal mobile systems"" mas'uliyati cheklangan jamiyat Nukus xizmat ko'rsatish markazi";303020732;
Respublikaliq bolalar yuqumli kasalliklar shifoxonasi;202035115;
Nókis qalası Densawlıqtı saqlaw bólimi;204060084;
Nókis qalası Medicina birlespesine qaraslı 9-sanli shanaraqliq poliklinikasi;204060084;
Nókis qalası Medicina birlespesine qaraslı 1-sanli shanaraqliq poliklinikasi;204060084;
Nókis qalası Medicina birlespesine qaraslı 2-sanli shanaraqliq poliklinikasi;203133088;
Nókis qalası Medicina birlespesine qaraslı 3-sanli shanaraqliq poliklinikasi;204060084;
Nókis qalası Medicina birlespesine qaraslı 4-sanli shanaraqliq poliklinikasi;203218369;
Nókis qalası Medicina birlespesine qaraslı 5-sanli shanaraqliq poliklinikasi;204348214;
Nókis qalası Medicina birlespesine qaraslı 6-sanli shanaraqliq poliklinikasi;206942124;
Nókis qalası Medicina birlespesine qaraslı 7-sanli shanaraqliq poliklinikasi;206941860;
Nókis qalası Medicina birlespesine qaraslı 8-sanli shanaraqliq poliklinikasi;207188024;
Nókis qalası Medicina birlespesine qaraslı 10-sanli shanaraqliq poliklinikasi;310083525;
Nókis qalası Medicina birlespesine qaraslı 11-sanli shanaraqliq poliklinikasi;312312214;
Nókis qalası Medicina birlespesine qaraslı 12-sanli shanaraqliq poliklinikasi;312312245;
"""S.Sultanov"" atındaǵı Respublika ftiziatriya hám pulmonologi";202035075;
Respublika bolalar stomatologiya poliklinikasi;202035108;
Respublikaliq Patologoanatomiya byurosi;201894496;
"""U.Xalmurotov"" atındaǵı Respublikalıq kóp tarmaqlı medisina orayı ";202035036;
Respublika  o'smirlar dispanseri;306667921;
"""Respublika bolalar ftiziatriya sanatoriyasi"" davlat muassasasi";202035029;
Qaraqalpaqstan Respublikası aymaqlıq balalar medisinalıq reablitasiya orayı;201028979;
2-sonli Nukus Abu Ali ibn Sino nomidagi jamoat salomatligi texnikumi;201072395;
Nukus Abu Ali ibn Sino nomidagi jamoat salomatligi texnikumi;200358213;
“Nukus tibbiyot va It texnikumi” mas’uliyati cheklangan jamiyati;310093046;
Akademik Y.X.To'rakulov nomidagi Respublika ixtisoslashtirilgan  endokrinologiya ilmiy-amaliy tibbiyot markazi Qoraqalpog'iston filiali;202389728;
Respublika ixtisoslashtirilgan ko'z mikroxirurgiyasi ilmiy-amaliy tibbiyot markazi Qoraqalpog'iston Respublikasi mintaqaviy filiali;202035186;
Respublika shoshilinch tibiy yordam ilmiy markazi Nukus filiali;203498188;
Nókis qalası Sanitariya-epidemiologiyalıq tınıshlıq hám jámiyet salamatlıǵı bólimi;201020910;
Qaraqalpaqstan Respublikası arttırilǵan immunitet jetispewshiligi sindromina qarsı gúresiw orayı;202035083;
Respublika o'lat profilaktika markazi Qoraqalpog'iston filiali;201721022;
Respublika ixtisoslashtirilgan kardiologiya ilmiy amaliy tibbiyot markazi Qoraqalpog'iston Respublikasi hududiy filiali;200362193;
Respublika ixtisoslashtirilgan  onkologiya va radiologiya ilmiy-amaliy tibbiyot markazi Qoraqalpog'iston filiali;201020974;
Respublika ixtisoslashitirilgan ona va bola salamotligi ilimiy-amaliy tibbiyot markazi ;201020903;
O'zbekiston Respublikasi Sog'liqni saqlash vazirligi sud-tibbiy ekspertiza ilmiy-amaliy markazi Qoraqalpog'iston filiali;202029493;
Respublika tez tibbiy yordam markazi Qoraqalpog'iston filiali;200949617;
Nókis qalası tez medisinalıq járdem №1-podstansiyası;200949617;
Nókis qalası tez medisinalıq járdem bólimi;200949617;
Qaraqalpaqstan Respublikası filialı;202035194;
Qoraqalpog'iston Respublika bolalar ko'p tarmoqli tibbiyot markazi;201036351;
Qoraqalpog'iston Respublikasi qon quyish markazi;201020966;
Respublika ixtisoslashtirilgan dermatovenerologiya va kosmetologiya ilmiy-amaliy tibbiyot markazi Qoraqalpog'iston Respublikasi mintaqaviy filiali;200357791;
Respublika o'rta tibbiyot va farmatsevtika xodimlari malakasini oshirish va ularni ixtisoslashtirish markazi Qoraqalpog'iston Respublikasi filiali;201020894;
“O'zbekkonsert” davlat muassasasi Qoraqalpog'iston Respublikasi bo'limi;202035305;
“Qoraqalpoqfilm” DUK;200357396;
“Qoraqalpoqkino” agentligi;201035812;
Nókis qalası Mádeniyat bólimi;202034970;
O‘zbekiston davlat filarmoniyasi Qoraqalpog‘iston Respublikasi bo‘linmasi;207287320;
Qoraqalpog'iston Respublikasi ko'zi ojizlar maxsus kutubxonasi;207107384;
Berdaq nomidagi Qoraqalpoq davlat akademik musiqali teatri;201036257;
Qoraqalpoq davlat Yosh tomoshabinlar teatri;202035313;
Qoraqalpog'iston davlat qo'g'irchoq teatri;200362240;
Nukus ixtisoslashtirilgan madaniyat maktabi;200362099;
Qaraqalpaqstan kórkem óner sarayı mámleketlik mekemesi ;309270394;
“Ayqulash” Qaraqalpaq mámleketlik milliy folklor ansambli;202265368;
O'zbekiston Davlat konservatoriyasining Nukus filiali;308588662;
Nókis qalası Yesjan baqsı atındaǵı 1-sanlı balalar muzıka hám kórkem-óner mektebi;203464816;
Nókis qalası 22-sanlı balalar muzıka hám kórkem-óner mektebi;207245088;
Opera kórkem ónerine qánigelestirilgen mektep-internatı;308686232;
Nókis qalası 12-sanlı balalar muzıka hám kórkem óner mektebi;203567845;
"""O'zRTXB"" AJ Qoraqalpog'iston filiali ";200933985;
Qoraqalpog'iston fermerlari kengashi;207171506;
Respublika Ma'naviyat va ma'rifat markazining Qoraqalpog'iston bo'limi;200362050;
Respublika Ruwxıylıq hám aǵartıwshılıq orayı Nókis qalası bólimi;200362050;
O'zbekiston Respublikasi Kasaba uyushmasi federatsiyasi Qoraqalpog'iston Respublikasi;200357737;
Bolalarning dam olishini va sog'lomlashtirilishini tashkil etish departamentining Qoraqalpog'iston boshqarmasi;207352493;
Nókis qalası Kámbaǵallıqtı qısqartırıw hám bántlik bólimi;200362218;
Nókis qalası kásbiy kónikpeler orayı;308523324;
Qaraqalpaqstan Respublikası jolawshı tasıwdı monitoring hám qadaǵalaw mámleketlik shólkemi;305109680;
“Sapsan Trans Nukus” mas’uliyati cheklangan jamiyati;310201155;
Qipchaq Yo'llardan muntazam foydalanish unitar korxonalari;309101531;
"""Qoraqalpogiston Respublikasi Mintaqaviy yo'llarga buyrtmachi xizmati"" DUK";207255036;
"""Qaraqalpaq jol kóklem” Mámleketlik unitar kárxanası";305168593;
NODL-Orolbo'yi;202472894;
" ""Nukus xalqaro aeroporti"" MChJ";200949158;
Nukus transport texnikumi;201036272;
Qoraqalpog'iston Respublikasi Axborot-kutubxona markazi;206758526;
Qaraqalpaqstan Respublikası Statistika basqarması;200356524;
Nókis qalası statistika bólimi;200356524;
“Ustyurt geofizika ekspeditsiyasi” filiali;201577724;
“Yer qa'ridan foydalanish markazi” davlat muassasasi Qoraqalpog'iston Respublikasi hududiy boshqarmasi;200898357;
Qaraqalpaqstan Respublikası Qurılıs hám úy-jay kommunal xojalıǵı ministrligi;200358244;
Nókis qalası qurılıs hám úy-jay kommunal xojalıǵı bólimi;200358244;
Qoraqalpog'iston Respublikasi Qurilishda tanlov savdolarini tashkil etish konsalting markazi;202610040;
“Qoraqalpog'iston Respublikasi kommunal issiqlik ta'minoti” MChJ;200356026;
“Wzmilliybank” AJ Qaraqalpaqstan Respublikası Bas basqarması;200836354;
”Agrobank” aksiyanerlik-kommersiyalıq banki Qaraqalpaqstan Respublikası basqarması;207243390;
"""Sanoat-qurilish bank"" AJ Qaraqalpoqiston Respublikasi filiali";200833707;
"""Mikrokreditbank"" ATB Qoraqalpog'iston Respublikasi filiali";;
"""Asakabank"" AJ Nukus filiali";201589828;
"AT ""Xalq banki"" Qoraqalpog'iston Respublikasi mintaqaviy markazi";207215726;
“Biznesni rivojlantirish banki” ATB Qoraqalpog'iston Respublikasi hududiy boshqarmasi;206916313;
"Qoraqalpog'iston Respublikasi “kichik biznesga ko'maklashish markazi"" MChJ";310889178;
“Turon bank” ATB Qoraqalpog'iston Respublikasi bank xizmatlar markazi;201055108;
”Ipoteka-bank” aksiyanerlik-kommersiyalıq Ipoteka banki Qaraqalpaqstan Respublikası filialı;202858483;
“Infin bank” AKB Nókis filialı;206942764;
"""Hamkorbank"" ATB Nukus mintakaviy bank xizmatlar ofisi";200242936;
Ózbekstan Respublikası Oraylıq banki Qaraqalpaqstan Respublikası Bas basqarması;202855567;
Nókis qalası Abadanlastırıw basqarması;200357713;
Nókis Yerkin ekonomikalıq zona direktsiyası mámleketlik unitar kárxanası ;305057842;
Qaraqalpaqstan Respublikası Ministrler Keńesiniń “Birden-bir buyırtpashı xızmeti injiniring kompaniyası” mámleketlik shólkemi;204801205;
Qaraqalpaqstan Respublikası kishi hám jaslar sanaat zonaların basqarıw boyınsha birden-bir direksiyası mámleketlik kárxanası;305410886;
“Qaraqalpaq diyqan bazarı” Respublikalıq birlespesi;301784836;
Qaraqalpaqstan Respublikası Rásmiy qabıllar úyi mámleketlik shólkemi;207095663;
Qoraqalpog'iston Respublikasi Vazirlar kengashi huzuridagi tadbirkorlikka ko‘maklashish direksiyasi;311911141;
“Qoraqalpog'iston Respublikasi Vazirlar kengashi huzuridagi ijaraga berilgan qishloq xo'jaligi yerlariga xizmat ko'rsatish direksiyasi” mas'uliyati cheklangan jamiyati;312207786;
Qoraqalpog'iston Respublikasi Vazirlar Kengashi huzuridagi yoshlar ijtimoiy-iqtisodiy markazi direksiyasi;305109680;
Ózbekstan Respublikası Ilimler akademiyası Qaraqalpaqstan bólimi;202029905;
O'zbekiston Respublikasi fanlar akademiyasi Qoraqalpog'iston bo'limi Tabiyi fanlari ilmiy-tadqiqot instituti;207149981;
O'zbekiston Respublikasi fanlar akademiyasi Qoraqalpog'iston bo'limi Gumanitar fanlari ilmiy-tadqiqot instituti;207149974;
"Ózbekstan milliy teleradiokompaniyasınıń ""Qaraqalpaqstan Respublikası teleradiokanalı"" MM";201136124;
“O'zagrosug'urta” AJ Qoraqalpog'iston Respublikasi filiali;201042345;
Boshqaruv samaradorligi agentligi Qoraqalpog'iston Respublikasi filiali;306762718;
Ayollarni reabilitatsiya qilish va moslashtirish Respublika markazi Qoraqalpog'iston Respublikasi hududiy bo'limi;;
Ózbekstan Respublikası Prezidenti janındaǵı Sociallıq qorǵaw milliy agentliginiń Qaraqalpaqstan Respublikası Nókis qalasındaǵı “Imkon” reabilitaciya orayına iye mámleketlik kóp tarmaqlı qánigelestirilgen mektepke shekemgi bilimlendiriw shólkemi;207290761;
SQMA Qaraqalpaqstan Respublikası Nókis qalasındaǵı 26-sanlı kóp tarmaqlı qániygelestirilgen mektepke shekemgi bilimlendiriw shólkemi;207034080;
SQMA Qaraqalpaqstan Respublikası basqarmasına qaraslı arnawlı bilimge mútáj bolǵan gereń hám shala esitiwshi balalar ushin qánigelestirilgen 4-sanlı mektep-internatı;201028915;
SQMA Qaraqalpaqstan Respublikası Nókis qalasındaǵı 10-sanlı “Nurlı mákan” qánigelestirilgen mektep-internatı;203534395;
Qoraqalpog'iston Respublikasi tibbiy-ijtimoiy ekspert komissiyasi;310611681;
Nukus shahar “Inson” ijtimoiy xizmatlar markazi;310611681;
Nukus muruvvat nogironligi bo‘lgan shaxslar uchun ayollar internat uyi;200395929;
Ijtimoiy inspeksiyaning Qoraqalpog‘iston respublikasi boshqarmasi;310695301;
Qoraqalpog'iston Respublikasida loyihalarni amalga oshirish markazi loyiha ofisi;311908033;
O'zbekiston Respublikasi Prezidentining Qoraqalpog'iston Respublikasidagi Xalq qabulxonasi;201036035;
Nókis qalası Mámleketlik salıq inspekcyası;201021062;
Muhammad Ibn Ahmad Al-Beruniy o`rta maxsus islom bilim yurti;202781898;
Qaraqalpaqstan Musılmanları qazıyatı;202035409;
Qoraqalpog'iston Respublikasi “Qishloq ho‘jaligi mahsulotlari sifatini baholash markazi” davlat muassasasi;305604153;
Qurılıs hám úy-jay kommunal xojalıǵı tarawında qadaǵalaw inspeksiyasınıń Qaraqalpaqstan Respublikası aymaqlıq qadaǵalaw inspeksiyası;201721505;
Berdaq atındaǵı Qaraqalpaq ádebiyati tariyxı mámleketlik muzeyi;308556228;
Qoraqalpog'iston Respublikasi I.V.Savitskiy nomidagi davlat san'at muzeyi;207121234;
Qoraqalpog'iston Respublikasi tarixi va madaniyati davlat muzeyi;207107947;
Nókis qalası Shańaraq hám hayal qızlar bólimi;309342557;
"""O'zenergoinspeksiya"" Qoraqalpog'iston Respublikasi hududiy boshqarmasi";310705438;
Sanoat, radiatsiya va yadro xavfsizligi qo'mitasining Qoraqalpog'iston hududiy boshqarmasi;311420064;
Qoraqalpog'iston Respublikasi Markaziy davlat arxivi;200362082;
Nókis qalası jeke quram hújjetleri mámleketlik arxivi;206958016;
Nókis qalası Ádilik bólimi;;
Qaraqalpaqstan Respublikası  Gidrometeorologiya basqarması;201059022;
Qaraqalpaqstan Respublikası ”Taza hudud” mámleketlik unitar kárxanası;304937594;
Ekologiya, qorshaǵan ortalıqtı qorǵaw hám klimat ózgeriwi ministrliginiń Nókis qalası bólimi;202112977;
“Taza makan servic” mas'uliyati cheklangan jamiyati;311909300;
“Global position sistem” mas'uliyati cheklangan jamiyati;309167189;
“Nukus eko sity trans” mas'uliyati cheklangan jamiyati;306977583;
“Roodell recovery” mas’uliyati cheklangan jamiyati;304628109;
Nókis qalası Mámleketlik toǵay xojalıǵı;201008741;
“Chiqindi poligonlarini boshqarish direksiyasi” Qoraqalpog‘iston Respublikasi boshqarmasi;311062811;
Qoraqalpog'iston Respublikasi Chiqindilarni boshqarish va sirkulyar iqtisodiyotni rivojlantirish agentligi;311727433;
“Qoraqalpoqekspertiza” ma'suliyati cheklangan jamiyati;200362810;
O'zbekiston Respublikasi “Hunarmand” uyushmasi Qoraqalpog'iston Respublikasi boshqarmasi;202410037;
O'zbekiston Savdo-sanoat palatasi Qoraqalpog'iston Respublikasi boshqarmasi;200358664;
"AJ""O'zagrolizing"" Qoraqalpog'iston Respublikasi filiali";203071206;
Qaraqalpaqstan xabar agentligi;;
O'zbekiston Badiiy akademiyasi Qoraqalpog'iston bo'limi;201982774;
Qoraqalpog'iston Respublikasi ixtisoslashtirilgan san'at maktab-internati;202389735;
Xalıq deputatları Nókis qalası keńesi sekretariati;207333707;
O'zbekiston yoshlar ittifoqi Qoraqalpog'iston Rspublikasi kengashi;200358514;
“Kapital bank” ATB Qoraqalpog'iston Respublikasi filiali;207127843;
Oliy Majlisining inson huquqlari bo'yicha Qoraqalpog'iston Respublikasi mintaqaviy vakili;206978291;
Suv xo'jaligi ob'yektlarini xavsizligini va suvdan foydalanish nazorat qilish inspeksiyasi Qoraqalpog'iston Respublikasi boshqarmasi;310621456;
Irrigatsiya va suv muammolari ilmiy-tadqiqot instituti Qoraqalpog'iston mintaqaviy markazi;200949577;
Aral boyı delta basqarması;207289230;
Qaraqalpaqstan Respublmkası suw xojalıǵı ministrligi janındaǵı melorativ ekspedisiyası ;200362272;
“Qoraqalpog'istonsuvqurilishinvest” Davlat muassasasi;200356500;
O‘zbekiston Respublikasi milliy gvardiyasi Qoraqalpog'iston Respublikasi chavandozlar maktabi;309121530;
O‘zbekiston Respublikasi milliy gvardiyasi Qoraqalpog'iston Respublikasi bo‘yicha boshqarmasi;;
Qoraqalpog'iston magistral gaz quvurlari boshqarmasi;200407848;
"""Hududiy elektr tarmoqlari"" AJ Qaraqalpaqstan aymaqlıq filialı";306350099;
“Hududiy elektr tarmoqlari” AJ Qaraqalpaqstan aymaqlıq filialı Nókis qalası elektr támiynlewi;306350099;
“Hududiy elektr tarmoqlari” AJ “Energosavdo” filiali Qoraqalpog'iston Respublikasi bo‘linmasi;306350099;
“Hududiy elektr tarmoqlari” AJ “Energosawda” Qaraqalpaqstan aymaqlıq filialı Nókis qalalıq bólimi;306350099;
“O‘zbekiston MET” AJ “Qoraqalpog‘iston MET” filiali;306347741;
“Hududgaz Qaraqalpaqstan” gaz támiynatı Nókis qalası bólimi;306605769;
Qoraqalpogʻiston Respublikasi Davlat mulki obyektlari markazi hududiy boshqarmasi;203618353;
Qizilmiya va boshqa dorivor o'simliklarni yetishtirish va qayta ishlash tashkilotlari uyushmasi;207275011;
Suw hám kanalizasiya tarmaqların qurıw boyınsha Injiniring kompaniyası Qoraqalpoǵiston Respublikasi filialı;305974651;
Nókis qalası Jaslar isleri bólimi;309217308;
Nukus shahar 1-sonli spor maktabi;206834273;
Nukus shahar 2-sonli sport maktabi;206954844;
Qaraqalpaqstan Respublikası Jeke gúres sport túrlerine qanigeletirilgen sport mektebi;200358237;
Qoraqalpog'iston Respublikasi Gemnastika sport turlari bo'yicha ixtisoslashtirilgan sport maktabi;207169317;
Qoraqalpog'iston Respublikasi Suv sport turlari bo'yicha ixtisoslashtirilgan sport maktabi;202029747;
Olimpiya va milliy sport turlari bo'yicha Nukus oliy sport mahorati maktabi;207277515;
Respublika sport o'yin turlari va yengil otletika bo'yinsha ixtisoslashtirilgan sportlar mektebi;206968344;
"""O'zbekiston futbol Assotsiyatsiyasi tasarrufidagi Qoraqalpog'iston Respublikasi futbol akademiyasi"" davlat muassasasi";207283840;
O'zbekiston belbog'li kurash federatsiyasi Qoraqalpog'iston Respublikasi bo'limi;207153109;
Qoraqalpog'iston Respublikasi Yeshkak yeshish federatsiyasi;207069045;
Qoraqalpog'iston Respublikasi kurash federatsiyasi;207263794;
Ózbekstan taekwondo wt assotsiatsiyasi Qoraqalpaqstan Respublikası bólimi;207368267;
Nukus olimpiya va paralimpiya sport turlariga tayorlash markazi ;204879646;
Qoraqalpog'iston futbol associaciyasi;201793424;
Dene tárbiya hám sport boyınsha qánigelerdi kayta tayarlaw hám mamanlıǵın asırıw institutı Nókis filialı;207289380;
“Kafil sug'urta” AJ Qoraqalpog'iston Respublikasi filiali;205091876;
Tadbirkorlar va ishbilarmonlar harakati-O'zbekiston Liberal-demokratik partiyasi Qoraqalpog'iston hududiy partiya tashkiloti;206992134;
Ózbekstan “Milliy tiklanish” demokratiyalıq partiyası Qaraqalpaqstan Respublikası Keńesi ;205801917;
O‘zbekiston iste’molchilar huquqlarini himoya qilish jamiyatlari Federatsiyasining Qoraqalpog'iston Respublikasi Federatsiyasi;204434829;
O‘zbekiston Nogironlar Assotsiatsiyasi Qoraqalpog'iston Respublikasi hududiy bo‘limi;305109680;
“Abat mákán” MPJ;310218544;
“Aydın jol” MPJ;202775398;
“Aq jaǵıs” MPJ;205211306;
“Aq otaw” MPJ;207027270;
“Allaniyaz Qaharman” MPJ;207096890;
“Almazar” MPJ;201895162;
“Altın jaǵıs” MPJ;207337978;
“Amanlıq gúzarı” MPJ;207337961;
“Anasay” MPJ;205211321;
“Ata mákán” MPJ;306882458;
“Bayterek” MPJ;202714615;
“Baqshılıq” MPJ;202838800;
“Bereket” MPJ;207049798;
“Bestóbe” MPJ;205226999;
“Boz awıl” MPJ;206993608;
“Botanika baǵı” MPJ;202698596;
“Vatanparvar” MPJ;207289254;
“Ǵárezsizlik” MPJ;207061104;
“Góne qala” MPJ;202676924;
“Gúzar” MPJ;207010239;
“Gúlzar” MPJ;207151578;
“Dárbent” MPJ;202809360;
“Doslıq gúzarı” MPJ;207151561;
“Doslıq” MPJ;202227564;
“Yeliabat” MPJ;202775406;
“Jayxun” MPJ;205170604;
“Jańa bazar” MPJ;202797670;
“Jańa zaman” MPJ;310218552;
“Jas áwlad” MPJ;310216760;
“Jasıl baǵ” MPJ;310222730;
“Jeke terek” MPJ;202030139;
“Jiydeli baysın” MPJ;205211345;
“Jipek jolı” MPJ;207151585;
“Jolshılar” MPJ;202809400;
“Juwazshı” MPJ;205211314;
“Isbilermenler aymaǵı” MPJ;310218140;
“Kattaǵar” MPJ;202680335;
“Kók ózek” MPJ;205358257;
“Qarataw” MPJ;200363152;
“Qos bulaq” MPJ;202895329;
“Qos kól” MPJ;202844256;
“Qum awıl” MPJ;202809392;
“Qumbız awıl” MPJ;207012038;
“Qurılısshı” MPJ;202029952;
“Qutlı qonıs” MPJ;206993615;
“Qutlı mákán” MPJ;207100799;
“Qızıl qum” MPJ;205170650;
“Nawqan baǵ” MPJ;205226982;
“Nao'riz” MPJ;205170595;
“Náwbáhar” MPJ;207047175;
“Náwpir” MPJ;202684170;
“Nur” MPJ;202797655;
“Nurlı bostan” MPJ;310216215;
“Órnek” MPJ;202809384;
“Samanbay” MPJ;205211338;
“Sarbinaz” MPJ;202847101;
“Taslaq” MPJ;202170494;
“Tele oray” MPJ;207151554;
“Temir jol” MPJ;202793614;
“Tunǵısh qonıs” MPJ;202691449;
“Turan” MPJ;202825152;
“Tınıshlıq” MPJ;202822283;
“Uzın kól” MPJ;207337749;
“Xalıqlar doslıǵı” MPJ;202822308;
“Hao'a jollari” MPJ;202029976;
“Shadlı awıl” MPJ;310220916;
“Shayırlar awılı” MPJ;202838792;
“Shıǵıs” MPJ;202822290;
“Shımbay gúzarı” MPJ;306882497;
“Shımbay chayxana” MPJ;200363294;
Ámudarya” MPJ;205211353;
Nókis qalası 33-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048554;
Nókis qalası 2-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207036481;
Nókis qalası 3-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050205;
Nókis qalası 4-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207257706;
Nókis qalası 5-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;200358165;
Nókis qalası 7-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048499;
Nókis qalası 8-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050213;
Nókis qalası 9-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207004126;
Nókis qalası 11-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048507;
Nókis qalası 12-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048539;
Nókis qalası 13-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207032417;
Nókis qalası 14-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207032400;
Nókis qalası 15-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207035451;
Nókis qalası 16-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050269;
Nókis qalası 17-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207053826;
Nókis qalası 18-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048546;
Nókis qalası 19-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048522;
Nókis qalası 20-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207004269;
Nókis qalası 21-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050284;
